,name,category,cost,rating,num_of_rates,open_hours,Wi-Fi,Десерт,Паркувальний майданчик для людей на інвалідних візках,Години знижок на їжу,Підходить для сімейного відпочинку,Пізні вечері,Дитяче меню,Є вегетаріанські страви,Дебетові картки,Салат-бар,Пиво,Груповий відпочинок,Органічні страви,Камін,Обіди,Оплата лише готівкою,Халяльна їжа,Затишне місце,Туалет,Невимушена атмосфера,Бар,Туалет із доступом для інвалідів,Високі стільці,Спортивні змагання,"Компанії, якими керують жінки",Мобільні платежі через NFC,Доставка,Місця для сидіння,Підходить для дітей,Вхід для людей на інвалідних візках,Місця для людей на інвалідних візках,Жива музика,Вечері,Сніданки,Кредитні картки,Літній майданчик,Чеки,Вино,Смачні коктейлі
50,"Кафе-сироварня ""Мацонi""",Ресторан грузинської кухні,$$,"4,6",(1 951),12:00–23:00,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
51,Одеса,Ресторан,$$$,"4,6",(1 785),08:00–23:00,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
52,Jan-Shashlik,Ресторан,$$,"4,3",(67),10:00–21:00,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
53,Fish Dash,Ресторан середземноморської кухні,$$,"4,6",(313),12:00–01:00,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,0,1,1,1,1,1,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0
54,Pesto Cafe,Ресторан італійської кухні,$$,"4,3",(1 778),10:00–23:00,0,1,0,1,1,0,1,1,1,0,1,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,1,1,1,1,0,1,1,0,1,0,1,0
55,Арагві,Ресторан грузинської кухні,$$,"4,4",(55),11:00–23:00,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
56,Тарантіно,Ресторан італійської кухні,$$,"4,3",(1 479),12:00–00:00,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1
57,Сушія,Ресторан японської кухні,$$,"4,3",(1 037),12:00–23:00,0,1,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
58,Хінкалі,Ресторан грузинської кухні,$$,"4,5",(1 643),11:00–01:00,1,1,0,0,0,1,0,1,1,0,1,1,0,0,1,0,0,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,1,0
59,У хромого Пола,Ресторан чеської кухні,$$,"4,5",(1 639),10:00–23:00,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,0,0,1,1,1,1,0,1,0,0,0,0,1,1,0,0,1,1,1,1,1,0,1,1
